"id","address","sheet","label","type","format","formula","value","rules","version"
"7200","TLAD8",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7201","TLAD9",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7202","TLAD10",NULL,"Maint Cost","float",NULL,NULL,"1723.5",NULL,"749"
"7203","TLAD11",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7204","TLAD12",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7205","TLAD13",NULL,"Maint Cost","float",NULL,NULL,"3078",NULL,"749"
"7206","TLAD14",NULL,"Maint Cost","float",NULL,NULL,"3240",NULL,"749"
"7207","TLAD15",NULL,"Maint Cost","float",NULL,NULL,"4500",NULL,"749"
"7208","TLAD16",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7209","TLAD17",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7210","TLAD18",NULL,"Maint Cost","float",NULL,NULL,"7528.5",NULL,"749"
"7211","TLAD19",NULL,"Maint Cost","float",NULL,NULL,"1260",NULL,"749"
"7212","TLAD20",NULL,"Maint Cost","float",NULL,NULL,"1440",NULL,"749"
"7213","TLAD21",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7214","TLAD22",NULL,"Maint Cost","float",NULL,NULL,"1980",NULL,"749"
"7215","TLAD23",NULL,"Maint Cost","float",NULL,NULL,"810",NULL,"749"
"7216","TLAD24",NULL,"Maint Cost","float",NULL,NULL,"1620",NULL,"749"
"7217","TLAD25",NULL,"Maint Cost","float",NULL,NULL,"1080",NULL,"749"
"7218","TLAD26",NULL,"Maint Cost","float",NULL,NULL,"1980",NULL,"749"
"7219","TLAD27",NULL,"Maint Cost","float",NULL,NULL,"2160",NULL,"749"
"7220","TLAD28",NULL,"Maint Cost","float",NULL,NULL,"2700",NULL,"749"
"7221","TLAD29",NULL,"Maint Cost","float",NULL,NULL,"1530",NULL,"749"
"7222","TLAD30",NULL,"Maint Cost","float",NULL,NULL,"1656",NULL,"749"
"7223","TLAD31",NULL,"Maint Cost","float",NULL,NULL,"2160",NULL,"749"
"7224","TLAD32",NULL,"Maint Cost","float",NULL,NULL,"2700",NULL,"749"
"7225","TLAD33",NULL,"Maint Cost","float",NULL,NULL,"2700",NULL,"749"
"7226","TLAD34",NULL,"Maint Cost","float",NULL,NULL,"2700",NULL,"749"
"7227","TLAD35",NULL,"Maint Cost","float",NULL,NULL,"2700",NULL,"749"
"7228","TLAD36",NULL,"Maint Cost","float",NULL,NULL,"1530",NULL,"749"
